Data Quality Report 20260506
Generated: 2026-05-06 16:21:14
Rows: 148

Flag counts:
  SHARED_EXPORTER_LABEL: 79
  OK: 67
  UNMAPPED_ACCOUNT;UNMAPPED_BOT: 1
  UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT: 1

Non-OK rows:
  2026-05-06 | 2026-05-06 15:46:00 | SimMomo1 | V3C | NQ Momo OG 1m HA | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 1mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:47:16 | SimMomo2 | V3C | NQ Momo 5m NQ OG | OG_MomentumSlope_v1_2 | OG_MomentumSlope_v1_2 | Bottom Middle | Momo 5mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:58:31 | SimMomo2 | V3C | MomentumSlopeStrategy v1.3 | Momo 5mHA OG | NQ Expansion A | Bottom Middle | Momo 5mHA OG | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:33 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse_Fader | Kalman Fade Mode A+ | NQ_ADX_C | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:33 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse Fader Mode A+ | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:38:00 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse Fader Mode A+ | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:56:26 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse_Fader | Kalman Fade Mode A+ | NQ_ADX_C | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:56:26 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse Fader Mode A+ | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:24:02 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse_Fader | Kalman Fade Mode A+ | NQ_ADX_C | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:24:02 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse Fader Mode A+ | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
