trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,exported_strategy_name,exported_bot_name,registry_strategy_name,registry_bot_name,registry_tab_name,registry_chart_location,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 14:41:01,2026-05-05 14:41:01,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28174.25,28174.25,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,TrendUp,AFTERNOON_TREND_TEST,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,31,30.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 14:47:01,2026-05-05 14:47:01,V1A,APEX7678400000190,UNKNOWN,UNMAPPED,,15 Range Momentum V1A,UNKNOWN,,,,N/A,NQ,NQ JUN26,LONG,2,28174.0,28174.0,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,TrendUp,AFTERNOON_TREND_TEST,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,32,30.0,2026-05-05 17:56:53,UNMAPPED_ACCOUNT;UNMAPPED_BOT;SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:06:00,2026-05-05 10:06:37,OG,Sim101,MomentumRange_RangeBar,MomentumRange_RangeBar,,15 Range Momentum V1A,MomentumRange_RangeBar,,,,OG,NQ,NQ JUN26,LONG,1,28089.75,28100.75,220.0,220.0,44.0,WIN,STOP_HIT,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.62,,,1,220.0,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:06:49,2026-05-05 10:07:38,OG,Sim101,MomentumRange_RangeBar,MomentumRange_RangeBar,,15 Range Momentum V1A,MomentumRange_RangeBar,,,,OG,NQ,NQ JUN26,LONG,1,28102.25,28096.0,-125.0,-125.0,-25.0,LOSS,SESSION_CLOSE,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.82,,,2,95.0,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:08:07,2026-05-05 10:08:24,OG,Sim101,MomentumRange_RangeBar,MomentumRange_RangeBar,,15 Range Momentum V1A,MomentumRange_RangeBar,,,,OG,NQ,NQ JUN26,LONG,1,28095.5,28098.25,55.0,55.0,11.0,WIN,STOP_HIT,,,TREND_COMPRESSION,TREND,TrendUp,FIRST_ACCEPTANCE,49,DIRECTIONAL_MODERATE,1,TREND_COMPRESSION,0.28,,,3,150.0,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:13:34,2026-05-05 10:13:34,V3C,SimMomo1,MomentumSlopeStrategy v1.2,Momo 1mHA OG,,15 Range Momentum V1A,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,N/A,NQ,NQ JUN26,SHORT,1,28073.5,28060.5,260.0,260.0,52.0,WIN,TARGET_HIT,,,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,69,DEVELOPING_INITIATIVE_PHASE_AWARE,1,TREND_COMPRESSION,0.0,,,1,260.0,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:13:34,2026-05-05 10:13:34,V3C,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,OG,NQ,NQ JUN26,SHORT,1,28073.5,28060.5,255.64,251.28,50.3,WIN,TARGET_HIT,28092.5,380.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,69,DEVELOPING_INITIATIVE_PHASE_AWARE,1,TREND_COMPRESSION,0.0,0.66,0.66,2,511.28,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:13:35,2026-05-05 10:14:34,V3C,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,OG,NQ,NQ JUN26,SHORT,1,28059.5,28046.25,260.64,256.28,51.3,WIN,TARGET_HIT,28079.75,405.0,TREND_COMPRESSION,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,69,DEVELOPING_INITIATIVE_PHASE_AWARE,1,TREND_COMPRESSION,0.98,0.63,0.63,3,767.56,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:22:53,2026-05-05 10:24:00,V3C,SimMomo1,MomentumSlopeStrategy v1.2,Momo 1mHA OG,,15 Range Momentum V1A,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,N/A,NQ,NQ JUN26,LONG,1,28088.5,28092.75,85.0,85.0,17.0,WIN,SLOPE_EXIT,,,ROTATION_ILLIQUID,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,62,COMPRESSED_BALANCE_LOW_EDGE,0,TREND_COMPRESSION,1.12,,,4,852.56,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
2026-05-05,2026-05-05 10:22:53,2026-05-05 10:24:00,V3C,SimMomo1,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,NQ Momo OG 1m HA,OG_MomentumSlope_v1_2,MomentumSlopeStrategy v1.2,,Momo 1mHA OG,Bottom Middle,OG,NQ,NQ JUN26,LONG,1,28088.5,28092.75,80.64,76.28,15.3,WIN,SLOPE_EXIT,28064.75,475.0,ROTATION_ILLIQUID,BRACKET_MACRO,TrendUp,PRE_IB_MATURATION,62,COMPRESSED_BALANCE_LOW_EDGE,0,TREND_COMPRESSION,1.12,0.16,0.16,5,928.84,2026-05-05 17:56:53,SHARED_EXPORTER_LABEL
