trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 10:56:06,2026-05-05 11:00:42,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28105.5,28090.75,-295.0,-295.0,-59.0,LOSS,STOP_HIT,,,TRANSITION,TREND,Balance,MID_MORNING_DISCOVERY,0,HIGH_CONFLICT,1,TRANSITION,4.6,,,14,10.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:04:22,2026-05-05 11:05:32,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28112.0,28116.5,90.0,90.0,18.0,WIN,SESSION_CLOSE,,,TRANSITION,TREND,Balance,MID_MORNING_DISCOVERY,0,HIGH_CONFLICT,1,TRANSITION,1.17,,,15,100.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:06:47,2026-05-05 11:07:11,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28130.0,28117.5,-250.0,-250.0,-50.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.4,,,16,-150.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:07:16,2026-05-05 11:07:39,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28122.5,28124.5,40.0,40.0,8.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.38,,,17,-110.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:08:16,2026-05-05 11:10:41,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28114.25,28118.5,85.0,85.0,17.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,2.42,,,18,-25.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:11:55,2026-05-05 11:12:48,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28123.25,28130.25,140.0,140.0,28.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.88,,,19,115.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:15:10,2026-05-05 11:15:30,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28136.0,28137.5,30.0,30.0,6.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.33,,,20,145.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:15:50,2026-05-05 11:16:29,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28132.75,28129.5,-65.0,-65.0,-13.0,LOSS,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.65,,,21,80.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:18:10,2026-05-05 11:19:49,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28125.0,28126.5,30.0,30.0,6.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,1.65,,,22,110.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:20:34,2026-05-05 11:21:55,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28121.75,28130.75,180.0,180.0,36.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,1.35,,,23,290.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
