"Category","SourcePath","CopiedPath","Bytes","LastWriteTime","Lines","HeaderOrFirstLine","Note"
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\PINE_04152026WEDS.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\PINE_04152026WEDS.csv","1560","2026-04-15 15:41:54","8","Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,Sharpe,Profit p.m.,Sortino,Ulcer,Entry efficiency,Exit efficiency,Total efficiency,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\ADX_OGJan_Aprl2026.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\ADX_OGJan_Aprl2026.csv","170014","2026-04-15 16:14:35","975","Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\Momo_15Aprl2026.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\Momo_15Aprl2026.csv","1477","2026-04-15 17:22:13","46","Performance,All trades,Long trades,Short trades,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\Momo_Jan_Aprl2026.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\Momo_Jan_Aprl2026.csv","82736","2026-04-15 16:17:55","495","Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"06_OG_Baseline","UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\Pine_Jan_Aprl2026.csv","06_OG_Baseline\UNIFIED\Strategy Analyzer\bot tests\Regime Tests 3 bots\Pine_Jan_Aprl2026.csv","785974","2026-04-15 16:16:07","4615","Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,","Strategy Analyzer baseline and bot-test exports, including OG candidates."
"07_Source_Code","Archive\HMM_Watchdog.py","07_Source_Code\Archive\HMM_Watchdog.py","5887","2026-04-14 11:48:18",,"","Older pipeline or root source/reference."
"07_Source_Code","Archive\MacroSupervisor.py","07_Source_Code\Archive\MacroSupervisor.py","4253","2026-04-14 11:27:59",,"","Older pipeline or root source/reference."
"07_Source_Code","Archive\RegimeUpdate.py","07_Source_Code\Archive\RegimeUpdate.py","2128","2026-04-02 19:28:48",,"","Older pipeline or root source/reference."
"07_Source_Code","HMM_Watchdog.py","07_Source_Code\HMM_Watchdog.py","5887","2026-04-14 11:48:18",,"","Older pipeline or root source/reference."
"07_Source_Code","MacroRegime\archive\MacroRegimeBuilder_ES.py","07_Source_Code\MacroRegime\archive\MacroRegimeBuilder_ES.py","25188","2026-04-23 16:57:03",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\archive\MacroRegimeBuilder_ES_backup.py","07_Source_Code\MacroRegime\archive\MacroRegimeBuilder_ES_backup.py","23271","2026-04-23 14:19:00",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\archive\MacroRegimeBuilder_NQ.py","07_Source_Code\MacroRegime\archive\MacroRegimeBuilder_NQ.py","25269","2026-04-23 16:57:30",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\archive\MacroRegimeBuilder_NQbackup.py","07_Source_Code\MacroRegime\archive\MacroRegimeBuilder_NQbackup.py","23352","2026-04-23 14:19:22",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\MacroRegime_Research_Logger.py","07_Source_Code\MacroRegime\MacroRegime_Research_Logger.py","2303","2026-04-12 08:58:12",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\MacroRegimeBuilder_ES.py","07_Source_Code\MacroRegime\MacroRegimeBuilder_ES.py","25151","2026-04-24 13:50:39",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\MacroRegimeBuilder_NQ.py","07_Source_Code\MacroRegime\MacroRegimeBuilder_NQ.py","25204","2026-04-24 13:53:26",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroRegime\V3_Health_Check.py","07_Source_Code\MacroRegime\V3_Health_Check.py","4541","2026-04-23 16:33:43",,"","Older Python macro-regime pipeline."
