trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp,source_path,entry_dt,family,design_lane,SnapshotTimestamp,FinalRegime,CandidateRegime,MacroRegime,MacroPlaybook,HMM_Micro,Phase,RegimeConfidence,ReasonCode,AllowCompressionBot,AllowFadeBot,AllowMomo,AllowLong,AllowShort,StaleDataFlag,AsymHysteresisGateOpen,AsymHysteresisReason,join_lag_min,retro_regime,lane_bucket,hypothesis_bucket
2026-05-01,2026-05-01 09:54:15,2026-05-01 09:54:15,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27784.0,27793.5,190.0,190.0,38.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:54:15,V3C Compression,TREND_COMPRESSION,2026-05-01 09:51:42,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,2.55,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 09:55:16,2026-05-01 09:55:16,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27796.0,27805.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 09:55:16,V3C Compression,TREND_COMPRESSION,2026-05-01 09:51:42,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,3.566666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 09:55:16,2026-05-01 09:55:17,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27797.0,27813.5,330.0,330.0,66.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 09:55:16,V3C Compression,TREND_COMPRESSION,2026-05-01 09:51:42,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendUp,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,3.566666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:00:30,2026-05-01 10:00:30,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27860.0,27869.5,190.0,190.0,38.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:00:30,V3C Compression,TREND_COMPRESSION,2026-05-01 09:58:03,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,2.45,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:00:30,2026-05-01 10:01:07,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27862.0,27878.0,320.0,320.0,64.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:00:30,V3C Compression,TREND_COMPRESSION,2026-05-01 09:58:03,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,EARLY_CONTINUATION,64,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,2.45,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:05:59,2026-05-01 10:06:20,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27862.0,27877.75,315.0,315.0,63.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:05:59,V3C Compression,TREND_COMPRESSION,2026-05-01 10:01:26,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,PRE_DECISION,71,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,4.55,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:06:20,2026-05-01 10:06:20,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27868.0,27877.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:06:20,V3C Compression,TREND_COMPRESSION,2026-05-01 10:06:14,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,END_FIRST_WINDOW,71,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.1,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:09:51,2026-05-01 10:09:51,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27876.0,27886.0,200.0,200.0,40.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:09:51,V3C Compression,TREND_COMPRESSION,2026-05-01 10:09:33,TREND_COMPRESSION,TREND_COMPRESSION,BALANCE_STRUCTURE,ROTATION_ILLIQUID,TrendDown,END_FIRST_WINDOW,71,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.3,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:11:43,2026-05-01 10:11:43,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27872.0,27882.0,200.0,200.0,40.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:11:43,V3C Compression,TREND_COMPRESSION,2026-05-01 10:11:22,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.35,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:12:23,2026-05-01 10:12:23,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27876.0,27885.75,195.0,195.0,39.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:12:23,V3C Compression,TREND_COMPRESSION,2026-05-01 10:11:22,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,1.0166666666666666,TREND_COMPRESSION,IN_LANE,IN_LANE
